track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRIOREW128F424EAF0,Mr. Brightside,The Killers,https://p.scdn.co/mp3-preview/4d26180e6961fd46866cd9106936ea55dfcbaa75?cid=774b29d4f13844c495f206cafdad9c86,09ZQ5TmUG8TSL56n0knqrj,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,2004,222200,0.355,0.918,1,-4.36,1,0.0746,0.00119,0.0,0.0971,0.24,148.114,4
TRRIVDJ128F429B0E8,Wonderwall,Oasis,https://p.scdn.co/mp3-preview/d012e536916c927bd6c8ced0dae75ee3b7715983?cid=774b29d4f13844c495f206cafdad9c86,06UfBBDISthj1ZJAtX4xjj,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",,2006,258613,0.409,0.892,2,-4.373,1,0.0336,0.000807,0.0,0.207,0.651,174.426,4
TROUVHL128F426C441,Come as You Are,Nirvana,https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=774b29d4f13844c495f206cafdad9c86,0keNu0t0tqsWtExGM3nT1D,"rock, alternative, alternative_rock, 90s, grunge",RnB,1991,218920,0.508,0.826,4,-5.783,0,0.04,0.000175,0.000459,0.0878,0.543,120.012,4
TRUEIND128F93038C4,Take Me Out,Franz Ferdinand,https://p.scdn.co/mp3-preview/399c401370438be449c2aebff816ba8c62559871?cid=774b29d4f13844c495f206cafdad9c86,0ancVQ9wEcHVd0RrGICTE4,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,2004,237026,0.279,0.664,9,-8.851,1,0.0371,0.000389,0.000655,0.133,0.49,104.56,4
TRLNZBD128F935E4D8,Creep,Radiohead,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=774b29d4f13844c495f206cafdad9c86,01QoK9DA7VTeTSE3MNzp4I,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,2008,238640,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4
TRUMISQ128F9340BEE,Somebody Told Me,The Killers,https://p.scdn.co/mp3-preview/0d07673cfb46218a49c96eed639933f19b45cf9c?cid=774b29d4f13844c495f206cafdad9c86,0FNmIQ7u45Lhdn6RHhSLix,"rock, alternative, indie, pop, alternative_rock, indie_rock",,2005,198480,0.508,0.979,10,-4.289,0,0.0847,8.71e-05,0.000643,0.0641,0.704,138.03,4
TRVCCWR128F9304A30,Viva la Vida,Coldplay,https://p.scdn.co/mp3-preview/ab747fed1bfab2ac2c8ef7a260822520f6345113?cid=774b29d4f13844c495f206cafdad9c86,08A1lZeyLMWH58DT6aYjnC,"rock, alternative, indie, pop, alternative_rock, british, britpop",,2013,235384,0.588,0.806,8,-7.903,1,0.105,0.153,0.0,0.0634,0.52,137.973,4
TRXOGZT128F424AD74,Karma Police,Radiohead,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=774b29d4f13844c495f206cafdad9c86,01puceOqImrzSfKDAcd1Ia,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,1996,264066,0.36,0.505,7,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807,4
TRMZXEW128F9341FD5,The Scientist,Coldplay,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=774b29d4f13844c495f206cafdad9c86,0GSSsT9szp0rJkBrYkzy6s,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,2007,311014,0.566,0.429,5,-7.826,1,0.0242,0.715,1.44e-05,0.12,0.173,146.365,4
TRUJIIV12903CA8848,Clocks,Coldplay,https://p.scdn.co/mp3-preview/24c7fe858b234e3cb21872cd03ab44b669163fbb?cid=774b29d4f13844c495f206cafdad9c86,0BCPKOYdS2jbQ8iyB56Zns,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop",,2002,307879,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=774b29d4f13844c495f206cafdad9c86,06zh28PcYIFvNOAz5Wq2Xb,"rock, alternative, alternative_rock, 90s, funk",Pop,2003,265506,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275,4
TRURKLR12903CEBD47,Seven Nation Army,The White Stripes,https://p.scdn.co/mp3-preview/0cf1b44cf203258ea446560c62e891b887262024?cid=774b29d4f13844c495f206cafdad9c86,025zyxycElQVXwZSzrvJQr,"rock, alternative, indie, alternative_rock, indie_rock",,2008,232680,0.759,0.465,4,-7.602,0,0.0806,0.00662,0.288,0.257,0.305,124.049,4
TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=774b29d4f13844c495f206cafdad9c86,09xrHi86kLkEIzDLZiHNnv,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",RnB,2010,223106,0.809,0.72,6,-7.776,1,0.136,0.0337,0.00141,0.826,0.832,138.556,4
