name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms
Domino Dancing,Pet Shop Boys,https://p.scdn.co/mp3-preview/cf71fb177cce266ee1922ba2b1cb3d289dbd72af?cid=774b29d4f13844c495f206cafdad9c86,1NleLlYx96xUV34K1LlL80,"electronic, pop, dance, 80s, new_wave, synthpop",Pop,1988,464600
Celebration,Madonna,https://p.scdn.co/mp3-preview/2ec0810a762af769cc126a38d86ee855f6cd4b7f?cid=774b29d4f13844c495f206cafdad9c86,0bLnnpZXb0reoyHILMXdLw,"electronic, pop, female_vocalists, dance, 00s",Rap,2009,215133
Temptation Waits,Garbage,https://p.scdn.co/mp3-preview/5a5924919d4655532a26230f9dca6e1bccaf9e15?cid=774b29d4f13844c495f206cafdad9c86,2MgH091IoqZT3mqjCnXo0Y,"rock, electronic, alternative, female_vocalists, alternative_rock, soundtrack, 90s",Rock,1998,277400
Bionic,Christina Aguilera,https://p.scdn.co/mp3-preview/62c74e747cc8f423313b06a14d071deb9745a1c2?cid=774b29d4f13844c495f206cafdad9c86,0HYJYUFs9OatdhrT3CPJLQ,"electronic, pop, female_vocalists, dance",Jazz,2000,201266
Coming Down,The Weeknd,https://p.scdn.co/mp3-preview/76f7fd4c0b5ad259365dbab2b0517c1f0217eeff?cid=774b29d4f13844c495f206cafdad9c86,3PsS445MHcmtroGTstfTbm,"electronic, experimental, soul, trip_hop, indie_pop, rnb",Electronic,2012,295453
Perfect Strangers,Jonas Blue,https://p.scdn.co/mp3-preview/afe8e6e69233964efc5a0dfdfe59d6e7588e0d3f?cid=774b29d4f13844c495f206cafdad9c86,002MUzYlLK8L4mfZ2Oy3CG,"electronic, house, chill",,2016,197626
One Time Too Many,Phoenix,https://p.scdn.co/mp3-preview/68126855df669726106a89b3dae0b1a95fd4be79?cid=774b29d4f13844c495f206cafdad9c86,0k0iblojjxhpZ9oZqEmROg,"electronic, indie, indie_pop, beautiful, french, chill",Rock,2006,220720
Somebody,Depeche Mode,https://p.scdn.co/mp3-preview/4683f837f800a3b072cc0aaa8477b2611cf228b0?cid=774b29d4f13844c495f206cafdad9c86,0K9O3jlBass64CYE0te3tM,"electronic, 80s, british, new_wave, piano, love, beautiful, synthpop",,1984,267426
You and I,Washed Out,https://p.scdn.co/mp3-preview/8e76148b4a23ad9292dbde97285140bd9777bc76?cid=774b29d4f13844c495f206cafdad9c86,1rvQp7npqiziSflRdF1ZEg,"electronic, chillout, american, downtempo, synthpop, chill",,2011,312128
Love Long Distance,Gossip,https://p.scdn.co/mp3-preview/e3c12e8627655f60d0a6794750b2199ddd2faf8c?cid=774b29d4f13844c495f206cafdad9c86,0e6DOamBk7SEpNMY1C0VQX,"rock, electronic, indie, female_vocalists, indie_rock, dance, piano, indie_pop",Rock,2010,264138
